date	time	millis	speed	lat	lon	altitude
230414	82804100	1398245286496.5789	36.2	51.044985	13.7774	117.57
230414	82804100	1398245286519.73	36.2	51.044985	13.7774	117.57
230414	82804100	1398245286530.364	36.2	51.044985	13.7774	117.57
230414	82804100	1398245286551.015	36.2	51.044985	13.7774	117.57
230414	82804100	1398245286570.974	36.2	51.044989	13.777385999999998	117.57
230414	82804200	1398245286596.724	36.15	51.044989	13.777385999999998	117.55
230414	82804200	1398245286619.305	36.15	51.044989	13.777385999999998	117.55
230414	82804200	1398245286630.384	36.15	51.044989	13.777385999999998	117.55
230414	82804200	1398245286643.362	36.15	51.044989	13.777385999999998	117.55
230414	82804200	1398245286670.268	36.15	51.044992	13.777373	117.55
230414	82804300	1398245286691.7842	36.19	51.044992	13.777373	117.54
